frames,xnm,ynm,znm,locprec,photons,background,locprecZ,probe
1,431.9124,27148.84,-787.3444,53.85183,2821.819,135.2758,126.0963,0
1,19095.92,27202.15,502.7457,60.1059,1268.231,122.6627,273.2289,0
1,14405.71,27285.55,-762.8658,45.56046,5409.92,96.51765,74.72733,0
1,18478.54,27381.15,890.5197,59.81199,1630.937,119.4378,159.6593,0
1,570.5513,27524.08,966.7993,49.67281,2956.439,136.311,75.81361,0
1,1397.768,27550.23,-901.4595,48.83975,2335.862,130.2394,106.8169,0
1,15416.33,27500.67,579.7719,45.65997,2044.499,106.9939,100.5874,0
1,35149.39,27461.27,1060.84,38.47666,1374.903,50.70584,37.56107,0
1,12136.25,27650.51,-442.6057,31.07531,1863.258,97.21887,54.49298,0
1,47.01645,27869.51,244.8508,66.44439,2628.455,138.8904,165.4458,0
1,10846.74,27820.1,1016.093,53.17904,1189.326,99.7493,55.0956,0
1,14761.07,27821.4,195.8813,21.06994,5132.316,104.8558,37.68347,0
1,20243.97,27870.46,-705.2418,17.53479,1858.503,107.4965,44.24252,0
1,1683.132,27961.23,814.1309,61.31674,1396.54,128.0778,139.5533,0
1,18728.03,27944.82,-844.3953,66.47535,2049.855,118.6651,125.0165,0
1,19473.35,28040.45,-685.4031,39.15744,2662.328,118.3476,70.37521,0
1,20230.41,27907.24,-725.816,19.8208,1895.757,108.4949,44.89507,0
1,12387.75,28115.56,-865.2645,65.51427,1486.252,93.60345,110.0992,0
1,12736.25,28338.32,-695.9561,58.1451,1427.155,87.48812,108.0198,0
1,15227.94,28491.53,496.8737,51.00886,2232.979,98.4527,130.0799,0
1,16018.66,28444.22,-875.8788,39.93064,3797.783,107.2821,93.21877,0
1,27348.81,28540.32,-124.3088,12.02344,3441.316,73.42329,20.78735,0
1,14113.27,28609.65,858.2493,53.73017,1797.353,95.25439,116.5495,0
1,19147.41,28597.7,415.0257,49.39683,1870.991,122.0058,103.1863,0
1,35.7296,28808.58,-197.6957,74.72577,2327.431,138.1469,171.7006,0
1,544.303,28797.74,797.2869,42.01086,3048.725,129.1597,153.0821,0
1,15597.24,28758.05,-1101.384,25.05969,8392.174,103.2032,56.82058,0
1,19734.43,28766.82,801.8978,63.36368,1991.734,113.089,172.1827,0
1,20212.69,28723.29,-652.1141,19.68817,614.6589,107.7257,39.70342,0
1,15790.88,28887.72,1134.614,35.64331,7185.984,99.19958,27.5092,0
1,16931.83,28916.57,-249.4011,49.37576,2101.6,113.0865,121.8265,0
1,17307.86,28998.71,717.8024,23.37491,3923.264,117.5501,53.38239,0
1,23684.07,28986.51,205.1182,49.74149,840.4698,94.54515,96.44572,0
1,416.8753,29015.17,-858.57,63.58822,2575.132,126.0987,140.0569,0
1,14609.24,29104.1,866.3284,50.15996,2752.393,93.39996,110.9316,0
1,19595.26,29092.62,-1009.236,54.64421,2876.746,117.4727,56.28504,0
1,6.985928,29214.51,250.0322,72.75249,2938.757,135.775,229.7944,0
1,13765.31,29233.55,-797.8461,51.05616,1691.026,92.49571,170.8019,0
1,26490.38,29192.44,522.786,16.24403,4825.638,81.23886,36.54578,0
1,17448.93,29439.43,-911.3095,47.07066,3590.197,106.85,78.95129,0
1,588.7789,29555.69,915.2169,49.94955,2562.013,129.7023,113.6332,0
1,1236.531,29709.84,-522.7429,67.53526,1446.475,121.3098,169.1657,0
1,1680.342,29702.32,358.232,56.65707,1116.005,116.0517,182.4743,0
1,20204.22,29781.41,111.1762,42.69007,2040.36,104.7883,168.9016,0
1,26335.36,29711.51,943.8084,37.98068,3660.284,82.62083,77.82673,0
1,27432.62,29779.38,-834.359,43.32688,1895.017,67.33065,100.2473,0
1,251.9769,29889.93,-713.7376,62.28542,2421.411,125.6869,148.9391,0
1,14240.45,29905.84,60.65071,53.8013,892.2566,97.44266,158.073,0
1,17827.92,29906.04,306.1516,9.88194,7514.465,100.7282,20.46643,0
1,24015.92,29858.49,-1002.494,60.4717,1652.808,91.67703,101.9248,0
